Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
EXCHANGE NB&TC CO/EXCHANGE BSHRS CORP OF KS,1585.0,144052,"ATCHISON, KS",NAT,317000000.0,317000000.0,1.0,1.0,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
SECURITY NB/SECURITY FS CORP,1586.0,119153,"ENID, OK",NAT,317000000.0,317000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PUEBLO B&TC/PUEBLO BC,1587.0,106452,"PUEBLO, CO",SNM,316000000.0,316000000.0,1.0,1.0,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB OF LA GRANGE/FNBC LA GRANGE,1588.0,766735,"LA GRANGE, IL",NAT,316000000.0,316000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CACHE VALLEY BK/CACHE VALLEY BKG CO,1589.0,995076,"LOGAN, UT",SNM,316000000.0,316000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BANK OF BOTETOURT/BOTETOURT BSHRS,1590.0,759625,"BUCHANAN, VA",SNM,316000000.0,316000000.0,1.0,1.0,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
POINTS WEST CMNTY BK/FIRST NE BANCS,1591.0,654252,"SIDNEY, NE",SNM,316000000.0,316000000.0,1.0,1.0,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
NEW TRIPOLI BK/NEW TRIPOLI BC,1592.0,331713,"NEW TRIPOLI, PA",SMB,316000000.0,316000000.0,1.0,1.0,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CONSUMERS NB/CONSUMERS BC,1593.0,477321,"MINERVA, OH",NAT,316000000.0,316000000.0,1.0,1.0,10.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
STONEBRIDGE BK/STONEBRIDGE FNCL CORP,1594.0,2754389,"WEST CHESTER, PA",SNM,316000000.0,316000000.0,1.0,1.0,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
